view,run,removed,degree,strength,largest_component_nodes,components,global_efficiency_loss
validated,95,"wood, milk, vegetables",1,1.0,457,105,-0.00022811267802813617
validated,96,butter,2,2.0,456,105,0.0001905914955104976
validated,97,grain,3,3.0,454,107,0.0006461839052806645
validated,98,"roo sheep, laden with salt",1,1.0,457,105,-0.00022811267802810842
validated,99,wooden tubes or buckets,1,1.0,457,105,-0.00022374721488600813
validated,100,"10,000 maunds of wood annually",1,1.0,457,105,-0.000226097848885512
validated_probable,1,two horses,1,1.0,519,119,9.070584595551046e-05
validated_probable,2,wool,4,4.0,518,120,0.0004465455205012042
validated_probable,3,butter,2,2.0,519,119,0.00016616841658728676
validated_probable,4,grain or dried apricots,1,1.0,519,119,5.6930187385298425e-05
validated_probable,5,barley,5,5.0,516,121,0.0011484444632679502
validated_probable,6,chang-luk sheep,2,2.0,518,120,0.0003571028864784165
validated_probable,7,"cloth, chinese porcelain cups, and knives",1,1.0,519,119,0.00018677722202313507
validated_probable,8,pack-horses,2,2.0,518,120,0.00048625297859106187
validated_probable,9,chang-pa goats,1,1.0,520,119,-0.00019028927290548614
validated_probable,10,porcelain cups,1,1.0,520,119,-0.00019028927290548614
validated_probable,11,grain-salt-rice circuit,1,1.0,519,119,0.00017711403672779347
validated_probable,12,british capital,1,1.0,520,119,-0.00019028927290547226
validated_probable,13,yak-caravan,1,1.0,519,119,0.00018677722202313507
validated_probable,14,salt pans,1,1.0,519,119,4.9286256060862565e-05
validated_probable,15,"apricots, grain, walnuts, and white radish to trade for salt",1,1.0,520,119,-0.00019028927290548614
validated_probable,16,dried apricots,1,1.0,520,119,-0.00019028927290547226
validated_probable,17,thousands and thousands of sheep,1,1.0,519,119,0.00010218166740820489
validated_probable,18,long dagger,1,1.0,519,119,0.0001132550884339889
validated_probable,19,mandi rock salt,1,1.0,520,119,-0.00019028927290548614
validated_probable,20,the salt from this place,1,1.0,520,119,-0.00019028927290547226
validated_probable,21,the mandi salt mines,1,1.0,519,119,3.816101673384531e-05
validated_probable,22,thousands and thousands of sheep,1,1.0,519,119,0.00010218166740820489
validated_probable,23,punjab salt mines,1,1.0,520,119,-0.00019028927290548614
validated_probable,24,refined salt,1,1.0,520,119,-0.00019028927290548614
validated_probable,25,british capital,1,1.0,520,119,-0.00019028927290547226
validated_probable,26,"cloth, chinese porcelain cups, and knives",1,1.0,519,119,0.00018677722202313507
validated_probable,27,duties on goods imported and expo.rtoa,1,1.0,520,119,-0.00018466603400167647
validated_probable,28,a young yak,1,1.0,519,119,0.00012527224430126938
validated_probable,29,goose,3,3.0,509,121,0.0016896337136859951
validated_probable,30,blue chinese cloth,1,1.0,520,119,-0.0001887556622953701
validated_probable,31,blue chinese cloth,1,1.0,520,119,-0.0001887556622953701
validated_probable,32,grain-salt-rice circuit,1,1.0,519,119,0.00017711403672779347
validated_probable,33,british capital,1,1.0,520,119,-0.00019028927290547226
validated_probable,34,goods imported and expo.rtoa,1,1.0,520,119,-0.00018466603400167647
validated_probable,35,grain-salt-rice circuit,1,1.0,519,119,0.00017711403672779347
validated_probable,36,butter,2,2.0,519,119,0.00016616841658728676
validated_probable,37,barley,5,5.0,516,121,0.0011484444632679502
validated_probable,38,goose,3,3.0,509,121,0.0016896337136859951
validated_probable,39,"10,000 maunds of wood annually",1,1.0,520,119,-0.00018875566229534235
validated_probable,40,"roo sheep, laden with salt",1,1.0,520,119,-0.00019028927290548614
validated_probable,41,woolen goods,1,1.0,520,119,-0.00018364362692824265
validated_probable,42,salt from the lakes in trucks,1,1.0,520,119,-0.00019028927290548614
validated_probable,43,indian salt,2,2.0,520,120,-0.00018134321101305473
validated_probable,44,mandi rock salt,1,1.0,520,119,-0.00019028927290548614
validated_probable,45,cloth,2,2.0,519,119,0.00011836723445160513
validated_probable,46,cash crops and pastoral goods,2,2.0,520,120,-0.00017623117564595503
validated_probable,47,a young yak,1,1.0,519,119,0.00012527224430126938
validated_probable,48,goods imported and expo.rtoa,1,1.0,520,119,-0.00018466603400167647
validated_probable,49,indian tea,1,1.0,520,119,-0.00019028927290548614
validated_probable,50,"roo sheep, laden with salt",1,1.0,520,119,-0.00019028927290548614
validated_probable,51,two sheep,1,1.0,519,119,0.00018677722202313507
validated_probable,52,"beds, warm clothes, and provisions",1,1.0,520,119,-0.00018466603400167647
validated_probable,53,cultivator,1,1.0,520,119,-0.00019028927290548614
validated_probable,54,"pashm, or 'cashmere",1,1.0,520,119,-0.00019028927290548614
validated_probable,55,grain-salt-rice circuit,1,1.0,519,119,0.00017711403672779347
validated_probable,56,goods imported and expo.rtoa,1,1.0,520,119,-0.00018466603400167647
validated_probable,57,rice and ice,1,1.0,519,119,8.273513078910222e-05
validated_probable,58,grain,3,3.0,517,121,0.0005590245979779085
validated_probable,59,pashm,4,5.0,510,121,0.0024554104829922763
validated_probable,60,chang-pa goats,1,1.0,520,119,-0.00019028927290548614
validated_probable,61,punjab salt mines,1,1.0,520,119,-0.00019028927290548614
