view,node,type,degree_in_lcc,salt_neighbor
validated_probable_no_concept,tsakalho,LOCATION,2,False
validated_probable_no_concept,amdowa tribes,GROUP,1,True
validated_probable_no_concept,buddhist devotees,GROUP,1,False
validated_probable_no_concept,chinese authorities,GROUP,1,True
validated_probable_no_concept,drokpas,GROUP,1,False
validated_probable_no_concept,grain-salt-rice circuit,COMMODITY,1,True
validated_probable_no_concept,humlis,GROUP,1,True
validated_probable_no_concept,jumla and botechaur,LOCATION,1,True
validated_probable_no_concept,rice,COMMODITY,1,False
validated_probable_no_concept,salt lakes,LOCATION,1,True
validated_probable_no_concept,semi-luxuries like tea and rice,COMMODITY,1,True
validated_probable_no_concept,sheep,COMMODITY,1,False
validated_probable_no_concept,sub-montane markets,LOCATION,1,False
validated_probable_no_concept,the sheep,COMMODITY,1,False
validated_probable_no_concept,thousands and thousands of sheep,COMMODITY,1,False
validated_probable_no_concept,tibetan changpas,GROUP,1,True
validated_probable_no_concept,tibetan partners,GROUP,1,True
validated_probable_no_concept,tsakalho salt taxes,COMMODITY,1,False
validated_probable_no_concept,villagers in khasan and bhot,GROUP,1,False
validated_trade_only,salt,COMMODITY,21,False
validated_trade_only,barley,COMMODITY,4,True
validated_trade_only,rupshu,LOCATION,4,True
validated_trade_only,chang-pa,GROUP,2,True
validated_trade_only,humlis,GROUP,2,True
validated_trade_only,sheep,COMMODITY,2,False
validated_trade_only,shepherds,GROUP,2,True
validated_trade_only,tichurong people,GROUP,2,True
validated_trade_only,amdowa tribes,GROUP,1,True
validated_trade_only,at present,CONCEPT,1,False
validated_trade_only,caravans,CONCEPT,1,False
validated_trade_only,gg,CONCEPT,1,True
validated_trade_only,grain-salt-rice circuit,COMMODITY,1,True
validated_trade_only,jumla and botechaur,LOCATION,1,True
validated_trade_only,khaltse,LOCATION,1,False
validated_trade_only,kharnak,LOCATION,1,False
validated_trade_only,rice,COMMODITY,1,False
validated_trade_only,salt lakes,LOCATION,1,True
validated_trade_only,semi-luxuries like tea and rice,COMMODITY,1,True
validated_trade_only,the desert,CONCEPT,1,True
validated_trade_only,the water,CONCEPT,1,True
validated_trade_only,thousands and thousands of sheep,COMMODITY,1,False
validated_trade_only,tibetan changpas,GROUP,1,True
validated_trade_only,tibetan partners,GROUP,1,True
validated_probable_trade_only,salt,COMMODITY,21,False
validated_probable_trade_only,barley,COMMODITY,5,True
validated_probable_trade_only,rupshu,LOCATION,5,True
validated_probable_trade_only,shepherds,GROUP,3,True
validated_probable_trade_only,chang-pa,GROUP,2,True
validated_probable_trade_only,humlis,GROUP,2,True
validated_probable_trade_only,khaltse,LOCATION,2,False
validated_probable_trade_only,sheep,COMMODITY,2,False
validated_probable_trade_only,tichurong people,GROUP,2,True
validated_probable_trade_only,amdowa tribes,GROUP,1,True
validated_probable_trade_only,at present,CONCEPT,1,False
validated_probable_trade_only,bhoti bhotias,GROUP,1,False
validated_probable_trade_only,"buckwheat, turnips, or other vegetables",CONCEPT,1,False
validated_probable_trade_only,caravans,CONCEPT,1,False
validated_probable_trade_only,fumigation of juniper to buddhist divinities and tutelary spirits,CONCEPT,1,False
validated_probable_trade_only,gg,CONCEPT,1,True
validated_probable_trade_only,grain-salt-rice circuit,COMMODITY,1,True
validated_probable_trade_only,jumla and botechaur,LOCATION,1,True
validated_probable_trade_only,kharnak,LOCATION,1,False
validated_probable_trade_only,rice,COMMODITY,1,False
validated_probable_trade_only,salt lakes,LOCATION,1,True
validated_probable_trade_only,semi-luxuries like tea and rice,COMMODITY,1,True
validated_probable_trade_only,"tea, sugar, spices, rice, and other food products at dozum fair",CONCEPT,1,False
validated_probable_trade_only,the desert,CONCEPT,1,True
validated_probable_trade_only,the water,CONCEPT,1,True
validated_probable_trade_only,thousands and thousands of sheep,COMMODITY,1,False
validated_probable_trade_only,tibetan changpas,GROUP,1,True
validated_probable_trade_only,tibetan partners,GROUP,1,True
