view,metric,salt_observed,null_runs,null_median,null_max,p_ge_salt
validated,degree,27,100,1.0,7.0,0.009900990099009901
validated,strength,30.0,100,1.0,7.0,0.009900990099009901
validated,betweenness_lcc,0.2799581265616558,100,0.0,0.04256759113901973,0.009900990099009901
validated,pagerank,0.015508117938123104,100,0.001373976596733468,0.003966840229561676,0.009900990099009901
validated,global_efficiency_loss,0.014524982376802109,100,2.9540403002528692e-05,0.001970060213431671,0.009900990099009901
validated_probable,degree,27,100,1.0,5.0,0.009900990099009901
validated_probable,strength,30.0,100,1.0,5.0,0.009900990099009901
validated_probable,betweenness_lcc,0.28364893513530937,100,0.0,0.03793306105444834,0.009900990099009901
validated_probable,pagerank,0.013644840471506606,100,0.0010004841753615025,0.002367439536871522,0.009900990099009901
validated_probable,global_efficiency_loss,0.013642466991339225,100,-6.903507945605486e-05,0.0024554104829922763,0.009900990099009901
validated_no_concept,degree,22,100,1.0,4.0,0.009900990099009901
validated_no_concept,strength,25.0,100,1.0,5.0,0.009900990099009901
validated_no_concept,betweenness_lcc,0.5099119832041343,100,0.0,0.06092538759689922,0.009900990099009901
validated_no_concept,pagerank,0.02779417438769338,100,0.0019896108217443437,0.005364198114883335,0.009900990099009901
validated_no_concept,global_efficiency_loss,0.01850463517218282,100,-0.00019262159072461899,0.002407784710931289,0.009900990099009901
validated_probable_no_concept,degree,22,100,1.0,6.0,0.009900990099009901
validated_probable_no_concept,strength,25.0,100,1.0,6.0,0.009900990099009901
validated_probable_no_concept,betweenness_lcc,0.48891832229580584,100,0.0,0.1016335540838852,0.009900990099009901
validated_probable_no_concept,pagerank,0.023426632495868783,100,0.0024875621890547263,0.005944771873233478,0.009900990099009901
validated_probable_no_concept,global_efficiency_loss,0.016268058439952843,100,-0.00016713919006692765,0.00322052260781875,0.009900990099009901
validated_trade_only,degree,21,100,1.0,7.0,0.009900990099009901
validated_trade_only,strength,23.0,100,1.0,7.0,0.009900990099009901
validated_trade_only,betweenness_lcc,0.34354066985645954,100,0.0,0.13245234297865877,0.009900990099009901
validated_trade_only,pagerank,0.020510678054093866,100,0.002369668246445498,0.006688785607279197,0.009900990099009901
validated_trade_only,global_efficiency_loss,0.013072742873565649,100,-0.00023245728012564332,0.0031967883225174493,0.009900990099009901
validated_probable_trade_only,degree,21,100,1.0,7.0,0.009900990099009901
validated_probable_trade_only,strength,23.0,100,1.0,7.0,0.009900990099009901
validated_probable_trade_only,betweenness_lcc,0.33619945465439033,100,0.0,0.12926280522847056,0.009900990099009901
validated_probable_trade_only,pagerank,0.017956220563772548,100,0.00205761316872428,0.005826870884691027,0.009900990099009901
validated_probable_trade_only,global_efficiency_loss,0.011422154615319466,100,-0.00016372561352993864,0.003044453959778072,0.009900990099009901
