view,node,type,degree_in_lcc,salt_neighbor
validated_probable,tibetan changpas,GROUP,1,True
validated_probable,tibetan partners,GROUP,1,True
validated_probable,traders from northwestern sichuan,GROUP,1,False
validated_probable,tsakalho salt taxes,COMMODITY,1,False
validated_probable,tsam tso lake,LOCATION,1,False
validated_probable,weaving,CONCEPT,1,False
validated_probable,woolen goods,COMMODITY,1,False
validated_no_concept,salt,COMMODITY,33,False
validated_no_concept,grain,COMMODITY,15,False
validated_no_concept,bhotias,GROUP,12,True
validated_no_concept,farmers from lower ladakh (or sham),GROUP,5,True
validated_no_concept,chang-pa,GROUP,4,True
validated_no_concept,sheep,COMMODITY,4,False
validated_no_concept,tarakot,LOCATION,4,False
validated_no_concept,zanskaris,GROUP,4,True
validated_no_concept,goloks,GROUP,3,True
validated_no_concept,shepherds,GROUP,3,True
validated_no_concept,the lake,LOCATION,3,True
validated_no_concept,zhao erfeng,PERSON,3,True
validated_no_concept,bathang,LOCATION,2,False
validated_no_concept,consumers,GROUP,2,True
validated_no_concept,himalayan farmers,GROUP,2,True
validated_no_concept,humlis,GROUP,2,True
validated_no_concept,q e tibetans,GROUP,2,True
validated_no_concept,thakali merchants,GROUP,2,True
validated_no_concept,tibetan populations,LOCATION,2,True
validated_no_concept,tsakalho,LOCATION,2,False
validated_no_concept,amdowa tribes,GROUP,1,True
validated_no_concept,apricots,COMMODITY,1,False
validated_no_concept,bhotia population,GROUP,1,False
validated_no_concept,bhotias of panchsati and barthapale,GROUP,1,True
validated_no_concept,buddhist devotees,GROUP,1,False
validated_no_concept,chinese authorities,GROUP,1,True
validated_no_concept,chinu millet,COMMODITY,1,False
validated_no_concept,clothes to wear,COMMODITY,1,False
validated_no_concept,drokpas,GROUP,1,False
validated_no_concept,grazing grounds high above the villages,LOCATION,1,False
validated_no_concept,jumla and botechaur,LOCATION,1,True
validated_no_concept,salt lakes,LOCATION,1,True
validated_no_concept,salter water,COMMODITY,1,False
validated_no_concept,semi-luxuries like tea and rice,COMMODITY,1,True
validated_no_concept,sub-montane markets,LOCATION,1,False
validated_no_concept,the mountain-mass,LOCATION,1,False
validated_no_concept,the sheep,COMMODITY,1,False
validated_no_concept,thousands and thousands of sheep,COMMODITY,1,False
validated_no_concept,tibetan changpas,GROUP,1,True
validated_no_concept,tibetan partners,GROUP,1,True
validated_no_concept,tibetan trade-centre of taklakot,LOCATION,1,False
validated_no_concept,trade with the bhotias,GROUP,1,False
validated_no_concept,traders from northwestern sichuan,GROUP,1,False
validated_no_concept,traders of the karnali zone,GROUP,1,False
validated_no_concept,tsakalho salt taxes,COMMODITY,1,False
validated_no_concept,tsam tso lake,LOCATION,1,False
validated_no_concept,walnuts,COMMODITY,1,False
validated_no_concept,white radish,COMMODITY,1,False
validated_probable_no_concept,salt,COMMODITY,33,False
validated_probable_no_concept,bhotias,GROUP,13,True
validated_probable_no_concept,traders,GROUP,7,True
validated_probable_no_concept,livestock,COMMODITY,4,False
validated_probable_no_concept,sheep,COMMODITY,4,False
validated_probable_no_concept,tarakot,LOCATION,4,False
validated_probable_no_concept,himalayan farmers,GROUP,3,True
validated_probable_no_concept,shepherds,GROUP,3,True
validated_probable_no_concept,zhao erfeng,PERSON,3,True
validated_probable_no_concept,bathang,LOCATION,2,False
validated_probable_no_concept,nomads of the lake area,GROUP,2,True
validated_probable_no_concept,q e tibetans,GROUP,2,True
validated_probable_no_concept,tibetan populations,LOCATION,2,True
validated_probable_no_concept,tsakalho,LOCATION,2,False
validated_probable_no_concept,amdowa tribes,GROUP,1,True
validated_probable_no_concept,availability of a reasonable amount of cash,COMMODITY,1,False
validated_probable_no_concept,bhotias of panchsati and barthapale,GROUP,1,True
validated_probable_no_concept,buddhist devotees,GROUP,1,False
validated_probable_no_concept,cash crops and pastoral goods,COMMODITY,1,False
validated_probable_no_concept,chinese authorities,GROUP,1,True
validated_probable_no_concept,chinu millet,COMMODITY,1,False
validated_probable_no_concept,drokpas,GROUP,1,False
validated_probable_no_concept,grazing grounds high above the villages,LOCATION,1,False
