view,nodes,edges,components,largest_component_nodes,density,average_degree,average_strength,clustering,lcc_average_shortest_path,lcc_diameter,node_types
validated,706,636,105,457,0.0025556024350551505,1.801699716713881,1.8810198300283285,0.007592668918017131,6.016401781258398,16,CONCEPT:295|LOCATION:158|GROUP:132|COMMODITY:103|PERSON:18
validated_probable,809,725,119,520,0.002218237893010562,1.792336217552534,1.8665018541409146,0.00598030158566233,6.219215947828665,19,CONCEPT:325|LOCATION:184|GROUP:160|COMMODITY:120|PERSON:20
validated_no_concept,338,263,84,130,0.004617842782645339,1.5562130177514792,1.6331360946745561,0.013140872505421,4.159928443649374,9,LOCATION:127|GROUP:112|COMMODITY:82|PERSON:17
validated_probable_no_concept,402,314,97,152,0.003895733303557028,1.5621890547263682,1.626865671641791,0.010170045543179872,4.432380620425235,11,LOCATION:148|GROUP:137|COMMODITY:99|PERSON:18
validated_trade_only,422,352,87,211,0.003962580630635702,1.6682464454976302,1.7393364928909953,0.0059357440874028555,5.662559241706161,14,CONCEPT:174|COMMODITY:83|GROUP:82|LOCATION:77|PERSON:6
validated_probable_trade_only,486,401,102,235,0.0034024861058079845,1.6502057613168724,1.7119341563786008,0.004013461457179685,5.774940898345154,14,CONCEPT:189|GROUP:101|COMMODITY:99|LOCATION:91|PERSON:6
