node,weighted_degree,weighted_in_degree,weighted_out_degree,betweenness,closeness,eigenvector
meat,2.0,2.0,0,0.0,0.01015228426395939,0.015442441617970764
men,2.0,0,2.0,0.0,0.0,0.12113585241182649
milk,1.0,1.0,0,0.0,0.005076142131979695,0.01473274750361391
monasteries,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
mountainous areas,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
national cultural heritage,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
natural products,1.0,1.0,0,0.0,0.005076142131979695,7.611399157251647e-10
new law,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
nomads,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
nomads or drokpas,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
obedience,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
obstacles,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
of the states,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
outer hills,1.0,0,1.0,0.0,0.0,7.611399157251647e-10
outsiders,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
ownership of tso kar,1.0,1.0,0,0.0,0.0067681895093062595,0.07458828704503974
pack-horses,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
padam dev gautam,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
pashm,5.0,5.0,0,0.0,0.017766497461928935,0.07060006425211618
pastoral groups,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
pe customs house,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
peasant family,1.0,0,1.0,0.0,0.0,7.611399157251647e-10
peasant traders,1.0,0,1.0,0.0,0.0,7.611399157251647e-10
peasantry,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
peasants,3.0,1.0,2.0,5.179736869367036e-05,0.005076142131979695,1.3183330057046778e-09
people,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
people of tsakalho,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
poorzee,1.0,1.0,0,0.0,0.0067681895093062595,7.611399157251647e-10
porcelain cups,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
prior interventions,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
produce,1.0,1.0,0,0.0,0.005076142131979695,3.305649462996618e-11
productive resources,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
products,1.0,1.0,0,0.0,0.005076142131979695,7.611399157251647e-10
rana,1.0,1.0,0,0.0,0.005076142131979695,3.305649462996618e-11
relations between the state and its subjects,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
revenue demand,1.0,1.0,0,0.0,0.005076142131979695,7.611399157251647e-10
revenue matters in a few hill states,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
rice,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
river sutlej,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
ruler of the tract,1.0,0,1.0,0.0,0.0,7.611399157251647e-10
rupshu,8.0,3.0,5.0,0.00010359473738734072,0.0016920473773265649,0.5411533081528553
salt,14.0,13.0,1.0,0.000284885527815187,0.04765933446136492,0.5525972987426405
salt from the lakes,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
salt in the lake,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
salt lakes,1.0,0,1.0,0.0,0.0,0.11581511544824878
servile groups,3.0,3.0,0,0.0,0.015228426395939087,1.3183330057046778e-09
shamma,5.0,0,5.0,0.0,0.0,0.09061179618319533
shepherds,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
sikhs,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
simla,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
special circumstances,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
state forests,1.0,1.0,0,0.0,0.0067681895093062595,7.611399157251647e-10
state officials,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
state's administration,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
storage facilities,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
surplus,1.0,1.0,0,0.0,0.0067681895093062595,3.305649462996618e-11
sutlej valley,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
tea,4.0,4.0,0,0.0,0.021150592216582064,3.211658470367539e-08
the bethus,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
the british,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
the british east india company,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
the british government,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
the corn,1.0,1.0,0,0.0,0.0067681895093062595,3.305649462996618e-11
the crown,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
the first thing,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
the khumri,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
the narrow mountain paths,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
the nepalese state,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
the raja,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
the rulers of these hill states,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
the state,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
the subbas,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
the west himalayas,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
the western himalayas,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
these mountain communities,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
this effort,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
those deities,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
through palampur and from leh to kashmir,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
tibet,3.0,2.0,1.0,7.769605304050554e-05,0.007614213197969543,0.13411435351586465
tibet baqals,3.0,1.0,2.0,0.0,0.005076142131979695,0.04860540163247527
tibetan authorities,1.0,1.0,0,0.0,0.005076142131979695,3.305649462996618e-11
tibetan changpas,1.0,0,1.0,0.0,0.0,0.11581511544824878
tibetan herdspeople,1.0,0,1.0,0.0,0.0,7.611399157251647e-10
