node,weighted_degree,weighted_in_degree,weighted_out_degree,pagerank,betweenness,closeness,eigenvector
changthang,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
channel,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
channels,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
chapel on topmost storey,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
"chapter 6, 'hazardous trails'",1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chapter 8,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
chapters 11 and 12,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
character of the ladakhis and their society,1.0,1.0,0,0.00031776283065700626,0.0,0.0004002801961372961,0.0037843633608458057
characteristic bird,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,0.0037841432225097053
charas,1.0,0,1.0,0.00020559983644291994,0.0,0.0,7.867560346073668e-40
charging battery for the radio,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
chatelaine,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
chemrey,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chief monasteries,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chigtan,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chigtan about the second half of the sixteenth century,1.0,1.0,0,0.0008034797850881691,0.0,0.0006004202942059442,4.506338807828932e-41
chigtan rulers,1.0,0,1.0,0.00020559983644291994,0.0,0.0,4.506338807828932e-41
"chigtan, lamayuru, nyarma, basgo and alchi",1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chigtanis,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
children,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
chiling,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chiling people,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
china,7.0,4.0,3.0,0.0014134890497391743,8.744860140837325e-05,0.015582844380214886,0.061766759916830186
china and the mediterranean,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
china and tibet,1.0,1.0,0,0.0003673960384291045,0.0,0.0004002801961372961,4.6282321808809135e-05
china's annexation of tibet,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chinese,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chinese ambans,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
chinese army,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.0003331209920294171
chinese authorities,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chinese central asia,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
chinese central government,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chinese emperor in peking,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.051239168501873
chinese forces,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.004890236389502859
chinese government,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
chip-chap stream,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
chiru,2.0,1.0,1.0,0.00021903774264723334,6.310723812975389e-07,0.0003002101471029721,6.396899364248154e-05
chitral,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.004049143008476477
chogtse,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
chon-kor,1.0,1.0,0,0.000225010145404706,0.0,0.0003002101471029721,0.003913822945255084
chorten,3.0,0,3.0,0.00020559983644291994,0.0,0.0,8.345474291697066e-42
chorteru,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chorus,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
chos-kor,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
christian community,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
christianity,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
christians,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chronicle,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
chu dpon,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chuba,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chuk-shik-jal temple,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chukor,1.0,0,1.0,0.00020559983644291994,0.0,0.0,4.738887047182311e-34
church,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
chushot,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
chushot baltis,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
"chushot, a village",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
chushul,2.0,1.0,1.0,0.00038029261709899437,9.015319732821984e-08,0.0003002101471029721,6.581868060261733e-42
chutuk project,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
circuit,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
"cities like shigatse, gartok, yarkand, kashgar, and srinagar",1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,1.4243181652762145e-37
civil administration,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.051239168501873
climate,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
cloisters,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
clothes,1.0,1.0,0,0.00024053839257413481,0.0,0.0003002101471029721,3.729910857450967e-37
clumps,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
co-operative marketing societies,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
co-operative movement,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
co-operative societies,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
co-operative societies (100-odd),1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
coarse wool,2.0,2.0,0,0.00047336591601611984,0.0,0.0006754728309816872,2.5492016852146044e-05
colloquial tongue,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
commanders,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
commerce,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
commerce over the karakoram,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
commercial and administrative capital of ladakh,1.0,1.0,0,0.0002926985072998085,0.0,0.00240713954313474,0.0045827321373169885
commercial artery,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
commercial treaty of 1870,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
commodities,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
commodities low in bulk and high in value,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
common till very recently,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
communal feeling,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
communities,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
community,1.0,1.0,0,0.0005167194999380848,0.0,0.008705806432671614,3.13880711707659e-05
compared with tikse,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
compassion,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
compassion for all living things,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
complex pattern,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
complex pattern involving varying forms of customs,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
composite,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
concept of five buddhas or five aspects of buddhahood,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,4.2388971119941726e-43
concerns,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
concrete expressions of process,1.0,1.0,0,0.000529192240415289,0.0,0.0004002801961372961,5.794329594162642e-45
concrete structure,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
conditions,1.0,1.0,0,0.0002138002298474982,0.0,0.0005403782647853497,0.0004292339523851001
conference,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
confined to doctrinal matters,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
confluence of sind river and stream,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
consequendy wheels and roads,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
conserving the kyang,1.0,1.0,0,0.00021903774264723334,0.0,0.0003002101471029721,6.362396377966684e-05
consolation,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
constitutional and administrative status as part of the republic of india,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
construction of kidding-sheds and establishment of fodder-banks,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
construction of school at secmol village,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
contemporary ladakh,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
content,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
contours,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
contribution,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
control of the salt trade,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
"con­fidence, and their pride in their own culture",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
"copper jars, plates and cooking pots of exquisite workmanship",1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
copper or brass embellished with silver,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
copper-gilt,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
copper-gilt image,1.0,1.0,0,0.0004434909545769071,0.0,0.0008005603922745922,2.150549453118513e-06
"corn, potatoes, buckwheat, turnips",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
cosmopolitan air,1.0,1.0,0,0.0002926985072998085,0.0,0.00240713954313474,0.0045827321373169885
council members,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
countries,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
country inhabited by mixed population,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
court scenes,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
courteously,1.0,1.0,0,0.0003673960384291045,0.0,0.0004002801961372961,4.818261828826402e-42
courts of the emperors akbar and jahangir,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
courtyard,1.0,1.0,0,0.00024473686447153,0.0,0.0005403782647853497,1.2185622503390055e-08
craftsmen,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
crag,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
crime rate,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
crops,3.0,1.0,2.0,0.0002926985072998085,7.5728685755704665e-06,0.00240713954313474,0.004929715865437274
cross-bred merino rams,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
crowd decked out in sunday best,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
crystal clear,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
cultural forms,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
cultural spectacles,1.0,1.0,0,0.0002138002298474982,0.0,0.0005403782647853497,0.0004292339523851001
culture,4.0,3.0,1.0,0.000563185791159647,4.507659866410992e-07,0.001072179096796329,0.00043621624905193355
cunningham,3.0,0,3.0,0.00020559983644291994,0.0,0.0,4.282835740620636e-40
cup of tea,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
curd,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
cured of their ailments,1.0,1.0,0,0.00022306911450852736,0.0,0.0003002101471029721,7.350706401599352e-32
"customs till 1959, and perhaps still survive in remote parts of nepal",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
cutting off from its sounds,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
cycle of the seasons,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
cymbals,1.0,0,1.0,0.00020559983644291994,0.0,0.0,4.506338807828932e-41
da-hanu,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
da-hanu dards,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
da-hanu people,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dalai lama,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dalai lama's prayer enclosure,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
damage that can be done by inappropriate educational policies,1.0,1.0,0,0.0003134639711003763,0.0,0.0004002801961372961,7.867560346073668e-40
dance,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dance-dramas,2.0,2.0,0,0.00040246944728346946,0.0,0.0006861946219496504,2.733252495725997e-29
danger by the report of the gun,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
dard castle,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dard communities,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dard way of life,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dardish,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dards,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
dards' religion,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
"dards, tibetans, and possibly other races",1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dating right back to the days of the caravan trade,1.0,1.0,0,0.0002926985072998085,0.0,0.00240713954313474,0.0045827321373169885
daud mohammad,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
daylight,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
decline,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
deep knowledge of environment,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
deep wooden verandahs,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
degree of skill,1.0,1.0,0,0.0003819626119204723,0.0,0.01234116012755823,0.004049143008476477
dehra dun and karnataka,1.0,1.0,0,0.0002138002298474982,0.0,0.0005403782647853497,0.0004292339523851001
deldan,9.0,0,9.0,0.00020559983644291994,0.0,0.0,0.005804192510310771
deldan namgyal,5.0,1.0,4.0,0.00038029261709899437,6.310723812975389e-07,0.0003002101471029721,0.000643627879229579
delectable valley,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
"delicate balance between man, his physical environment, and the rhythm of the seasons",1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,8.787000536042481e-34
delicately balanced ecological and social systems,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
demchog namgyal,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
demons,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dendaletche,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
denied,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
denoting respectful greeting,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
dense natural growth of hippophae (seabuckthorn),1.0,1.0,0,0.000234715299885599,0.0,0.0003002101471029721,4.5790314005722894e-06
departmental staff,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
depsang plain,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
descendants of mythical hero kesar,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
description of ladakh,2.0,2.0,0,0.0005549853977550687,0.0,0.0006004202942059442,8.194419496924599e-45
description of leh,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
descriptions of places,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
desert,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
desert birds,4.0,4.0,0,0.0009043709590672177,0.0,0.0012008405884118883,1.5735120692147335e-39
desideri,5.0,0,5.0,0.00020559983644291994,0.0,0.0,0.0046826701462646236
desideri and his companion father emanuel freyre,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
design department and embroidery department,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
deskit and sumur in nubra,1.0,1.0,0,0.000529192240415289,0.0,0.0004002801961372961,5.794329594162642e-45
"deskit, hundar, tirit, tigur, sumur and panamik",1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
destruction of buddhist religious artefacts and the looting of gompas,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
details of the kesar story,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
"development commissioner, or head of the district administration",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
dharmapalas,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dhayani buddhas,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
"dhritarashtra, who rules the east",1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
diet,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
diogo d'almeida,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.051239168501873
diplomatic missions,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
direct route between leh and lhasa,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
direct trade between leh and lhasa,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
dirt roads leading to many of the main salt flats in western tibet,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
disaster,1.0,1.0,0,0.00024053839257413481,0.0,0.0003002101471029721,4.893081202719235e-38
discipline,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
disconcerted by the intensity of the psychic power,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
disrupt the environmental ecosystem,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
distance between the traveller and the landscape,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
distinct flavour,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
district hospital,1.0,0,1.0,0.00020559983644291994,0.0,0.0,4.818261828826402e-42
district_administrations,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
disturbance of its habitat,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,0.00376384452862787
divide between the great himalaya and,1.0,1.0,0,0.0002421867775779404,0.0,0.0004503152206544581,2.193789486351934e-05
divinities,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
divinities and bodhisattvas,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
divinity specifically associated with time,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.50633880782893e-41
division of the lake into four parts,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
doctors,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dogra,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dogra commander-in-chief zorawar singh,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dogra conquest,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dogra domination,1.0,1.0,0,0.0002138002298474982,0.0,0.0005403782647853497,0.0004292339523851001
dogra dynasty,1.0,0,1.0,0.00020559983644291994,0.0,0.0,4.818261828826402e-42
dogra envoys,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dogras,4.0,0,4.0,0.00020559983644291994,0.0,0.0,0.0046332482552010786
dogras and tibetans,2.0,0,2.0,0.00020559983644291994,0.0,0.0,0.0003164414446980246
doll,1.0,0,1.0,0.00020559983644291994,0.0,0.0,3.1529045837948836e-05
dolpo,3.0,1.0,2.0,0.00038029261709899437,1.8030639465643968e-07,0.0003002101471029721,0.0006334543270440868
domestic livestock,2.0,1.0,1.0,0.00029294622677095714,1.8030639465643968e-07,0.0003002101471029721,1.8007243148468624e-38
domestication of animals,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
door of his shop in leh's main bazaar,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
doubt,1.0,1.0,0,0.0004299258248710926,0.0,0.0004002801961372961,1.5676266813030938e-40
down to the punjab and the hill-stations of up,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
dozens of times,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
dramatic feats,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
dras,6.0,0,6.0,0.00020559983644291994,0.0,0.0,0.00035292002321402527
dras area,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
dras river,2.0,1.0,1.0,0.00038029261709899437,1.5596503137782032e-05,0.0003002101471029721,0.0002937280617087143
dras valley,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
draught animals and ploughs,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
drew,3.0,1.0,2.0,0.0002138002298474982,5.409191839693191e-07,0.0005403782647853497,0.0004338637129128425
dri-gung-pa,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
dri-gung-pa monastic sect,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dried animal-dung,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
dried apricots,1.0,1.0,0,0.0003143076305297309,0.0,0.000919393575502852,0.0003356694614500889
dried cheese,1.0,1.0,0,0.000234715299885599,0.0,0.0003002101471029721,1.5968945207374223e-36
dried_apricots,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.051239168501873
drilling-rig,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
drinking of chang or gur-gurtea,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
driving between snow walls,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
drogpa,4.0,1.0,3.0,0.00031197842908873994,4.940395213586447e-05,0.013665264957903841,0.005725743777605619
drogpas,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
drug-pa,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.051239168501873
drug-pa and ge-lugs-pa,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
drug-pa monastic sect,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
drug-pa sect,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
drums,2.0,0,2.0,0.00020559983644291994,0.0,0.0,6.372925458683856e-41
dry atmosphere,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
dry closets,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
dry wood,1.0,1.0,0,0.000234715299885599,0.0,0.0003002101471029721,0.00037869525278969745
du-khang,9.0,2.0,7.0,0.0003220616902136362,2.343983130533716e-06,0.0006004202942059442,1.6685466575826707e-07
du-khang proper,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
due to perennial nature,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
dupatta,1.0,1.0,0,0.000325207811822821,0.0,0.0005403782647853497,1.725540092270093e-07
during this period,1.0,1.0,0,0.0003134639711003763,0.0,0.0004002801961372961,7.867560346073668e-40
dwelling-houses,1.0,1.0,0,0.00025547718257845083,0.0,0.0004002801961372961,2.827069306994782e-05
dzo,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
dzongkhul,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
dzongkhul and sani,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
each tent in rupshu,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
earlier and later periods,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,0.00376384452862787
earlier generations,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
earlier political relationship,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
earliest tibetans,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
early 1940s,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,2.3245442716016918e-05
early muslim rulers,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.0012505718893815266
